Date,Day,Action,Protester,Target,Govt agent,Event,Country,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,OSD,OSR,Source,Story date,No event found
22-Jan-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
23-Jan-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
24-Jan-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
25-Jan-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
26-Jan-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
27-Jan-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
28-Jan-80,Mon,demonstration,Arab students,Egypt-Israel,,treaty,Poland,Warsaw,treaty,28/01/1980,,301,0,0,0,N,31,0,0,3001,3187500,BBC,30/01/1980,
29-Jan-80,Tue,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,31/01/1980,
30-Jan-80,Wed,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,31/01/1980,
31-Jan-80,Thu,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,31/01/1980,
01-Feb-80,Fri,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
02-Feb-80,Sat,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
03-Feb-80,Sun,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
04-Feb-80,Mon,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
05-Feb-80,Tue,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
06-Feb-80,Wed,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
07-Feb-80,Thu,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
08-Feb-80,Fri,symbolic,religious,government,traffic,road over shrine,Poland,Czestochowa,shrine,28/01/1980,,31,0,0,0,N,31,0,0,20000000,3187500,Reuters,11/02/1980,
08-Feb-80,Fri,accede,religious,government,traffic,state agrees to stop road building,Poland,Czestochowa,accede,28/01/1980,,0,0,0,0,N,0,0,0,20000000,3187500,Reuters,11/02/1980,
09-Feb-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
10-Feb-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
11-Feb-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
12-Feb-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
13-Feb-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
14-Feb-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
15-Feb-80,Fri,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
16-Feb-80,Sat,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
17-Feb-80,Sun,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
18-Feb-80,Mon,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
19-Feb-80,Tue,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
20-Feb-80,Wed,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
21-Feb-80,Thu,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
22-Feb-80,Fri,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
23-Feb-80,Sat,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,04/03/1980,
23-Feb-80,Sat,demonstration,KOR,government,police,KOR seeks workers' rights,Poland,Warsaw,democracy,,,10,6,0,0,N,20,0,0,2000,3187500,Reuters,25/02/1980,
24-Feb-80,Sun,demonstration,KOR,government,police,KOR seeks workers' rights,Poland,Warsaw,democracy,,,10,7,0,0,N,20,0,0,2000,3187500,Reuters,26/02/1980,
25-Feb-80,Mon,trial,KOR,government,police,state tries arrested KOR activists,Poland,Warsaw,trial,,,1,1,0,0,N,10,0,0,2000,3187500,Reuters,27/02/1980,
26-Feb-80,Tue,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,27/02/1980,
27-Feb-80,Wed,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,28/02/1981,
28-Feb-80,Thu,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,28/02/1980,
29-Feb-80,Fri,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,29/02/1980,
01-Mar-80,Sat,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,01/03/1980,
02-Mar-80,Sun,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,02/03/1980,
03-Mar-80,Mon,symbolic,Catholics,government,police,Civs put out symbols; police take,Poland,Czestochwa,Religion,,03:00,20,0,0,0,N,20,0,0,20000000,3187500,Reuters,03/03/1980,
04-Mar-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
05-Mar-80,Wed,demonstration,KPN,government,police,preemptory arrest,Poland,Warsaw,democracy,,,20,20,0,0,N,20,0,0,2000,3187500,Reuters,05/03/1980,
06-Mar-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
07-Mar-80,Fri,petition,KOR,government,,Intellectuals support students,Poland,Krakow,democracy,,,11,0,0,0,N,31,0,0,2000,3187500,Reuters,07/03/1980,
08-Mar-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
09-Mar-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
10-Mar-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
11-Mar-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
12-Mar-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
13-Mar-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
14-Mar-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
15-Mar-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
16-Mar-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
17-Mar-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
18-Mar-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
19-Mar-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
20-Mar-80,Thu,petition,KOR,government,police,preemptory arrest,Poland,"Warsaw, Gdansk, Wroclaw",democracy,,,20,20,0,0,N,31,0,0,2000,3187500,Reuters,20/03/1980,
21-Mar-80,Fri,petition,KOR,government,police,preemptory arrest,Poland,Warsaw,democracy,,,20,20,0,0,N,31,0,0,2000,3187500,Reuters,21/03/1980,
22-Mar-80,Sat,demonstration,KOR,government,police,distributing leaflets,Poland,Warsaw,democracy,,,20,20,10,0,N,100,0,0,2000,3187500,Reuters,22/03/1980,
23-Mar-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
24-Mar-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
25-Mar-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
26-Mar-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
27-Mar-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
28-Mar-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
29-Mar-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
30-Mar-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
31-Mar-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
01-Apr-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
02-Apr-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
03-Apr-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
04-Apr-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
05-Apr-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
06-Apr-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
07-Apr-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
08-Apr-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
09-Apr-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
10-Apr-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
11-Apr-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
12-Apr-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
13-Apr-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
14-Apr-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
15-Apr-80,Tue,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
16-Apr-80,Wed,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
16-Apr-80,Wed,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
16-Apr-80,Wed,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
17-Apr-80,Thu,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
17-Apr-80,Thu,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
18-Apr-80,Fri,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
18-Apr-80,Fri,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
19-Apr-80,Sat,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
19-Apr-80,Sat,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
20-Apr-80,Sun,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
20-Apr-80,Sun,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
21-Apr-80,Mon,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
21-Apr-80,Mon,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
22-Apr-80,Tue,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
22-Apr-80,Tue,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
23-Apr-80,Wed,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
23-Apr-80,Wed,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
24-Apr-80,Thu,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
24-Apr-80,Thu,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
25-Apr-80,Fri,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
25-Apr-80,Fri,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
26-Apr-80,Sat,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
26-Apr-80,Sat,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
27-Apr-80,Sun,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
27-Apr-80,Sun,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
28-Apr-80,Mon,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
28-Apr-80,Mon,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
29-Apr-80,Tue,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
29-Apr-80,Tue,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
30-Apr-80,Wed,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
30-Apr-80,Wed,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
01-May-80,Thu,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
01-May-80,Thu,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
02-May-80,Fri,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
02-May-80,Fri,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
03-May-80,Sat,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
03-May-80,Sat,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
04-May-80,Sun,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
04-May-80,Sun,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
05-May-80,Mon,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
05-May-80,Mon,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
06-May-80,Tue,petition,Writers,government,,anti-censorship,Poland,Warsaw,human rights,,,5,0,0,0,N,0,0,0,1000,3187500,CSM,06/05/1980,
06-May-80,Tue,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
06-May-80,Tue,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
07-May-80,Wed,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
07-May-80,Wed,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,13,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
08-May-80,Thu,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,18,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
08-May-80,Thu,hunger strike,M. Chojecki,government,police,freedom,Poland,Warsaw,human rights,,,1,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
09-May-80,Fri,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,18,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
09-May-80,Fri,accede,M. Chojecki,government,police,released,Poland,Warsaw,accede,,,0,0,0,0,N,0,0,0,2000,3187500,Reuters,10/05/1980,
10-May-80,Sat,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,18,0,0,0,N,0,0,0,2000,3187500,Reuters,12/05/1980,
11-May-80,Sun,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,18,0,0,0,N,0,0,0,2000,3187500,Reuters,12/05/1980,
12-May-80,Mon,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
13-May-80,Tue,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
14-May-80,Wed,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
15-May-80,Thu,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
16-May-80,Fri,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
17-May-80,Sat,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
18-May-80,Sun,hunger strike,KOR,government,police,free political prisoners,Poland,Warsaw,human rights,,,23,0,0,0,N,0,0,0,2000,3187500,CSM,12/05/1980,
19-May-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
20-May-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
21-May-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
22-May-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
23-May-80,Fri,demonstration,KOR,government,police,free J. Kozlowski,Poland,Andomerz,human rights,,,20,15,0,0,N,31,0,0,2000,3187500,Reuters,27/05/1980,
24-May-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
25-May-80,Sun,demonstration,KOR,government,police,free J. Kozlowski,Poland,Andomerz,human rights,,,20,15,0,0,N,31,0,0,2000,3187500,Reuters,27/05/1980,
26-May-80,Mon,demonstration,KOR,government,police,free J. Kozlowski,Poland,Andomerz,human rights,,,20,40,0,0,N,101,0,0,2000,3187500,Reuters,27/05/1980,
27-May-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
28-May-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
29-May-80,Thu,suicide,economist,government,,repression of church,Poland,Gydinia,religion,,,1,0,0,0,N,0,0,0,20000000,3187500,Reuters,16/06/1980,
30-May-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
31-May-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
01-Jun-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
02-Jun-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
03-Jun-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
04-Jun-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
05-Jun-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
06-Jun-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
07-Jun-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
08-Jun-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
09-Jun-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
10-Jun-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
11-Jun-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
12-Jun-80,Thu,trial,M. Chojecki,government,,theft of copier,Poland,Warsaw,human rights,,,4,4,0,0,0,0,0,0,2000,3187500,CSM,13/06/1980,
13-Jun-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
14-Jun-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
15-Jun-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
16-Jun-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
17-Jun-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
18-Jun-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
19-Jun-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
20-Jun-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
21-Jun-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
22-Jun-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
23-Jun-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
24-Jun-80,Tue,,,,,,,,,,,,,,,,,,,,,,,no event
25-Jun-80,Wed,,,,,,,,,,,,,,,,,,,,,,,no event
26-Jun-80,Thu,,,,,,,,,,,,,,,,,,,,,,,no event
27-Jun-80,Fri,,,,,,,,,,,,,,,,,,,,,,,no event
28-Jun-80,Sat,,,,,,,,,,,,,,,,,,,,,,,no event
29-Jun-80,Sun,,,,,,,,,,,,,,,,,,,,,,,no event
30-Jun-80,Mon,,,,,,,,,,,,,,,,,,,,,,,no event
01-Jul-80,Tue,strike,workers,government,,higher meat prices,Poland,Northern Poland,inflation,01/07/1980,8:00-17:00,300,0,0,0,N,0,0,0,3000000,3187500,Reuters,03/07/1980,
02-Jul-80,Wed,strike,workers,government,,higher meat prices,Poland,Northern Poland,inflation,01/07/1980,8:00-17:00,300,0,0,0,N,0,0,0,3000000,3187500,Reuters,03/07/1980,
03-Jul-80,Thu,strike,workers,government,,higher meat prices,Poland,Northern Poland,inflation,01/07/1980,8:00-17:00,300,0,0,0,N,0,0,0,3000000,3187500,Reuters,03/07/1980,
04-Jul-80,Fri,petition,workers,government,,increase wages,Poland,Northern Poland,inflation,01/07/1980,8:00-17:00,300,0,0,0,N,0,0,0,3000000,3187500,CSM,04/07/1980,
04-Jul-80,Fri,strike,workers,government,,higher meat prices,Poland,Northern Poland,inflation,01/07/1980,8:00-17:00,300,0,0,0,N,0,0,0,3000000,3187500,Reuters,05/07/1980,
05-Jul-80,Sat,strike,workers,government,,higher meat prices,Poland,Northern Poland,inflation,01/07/1980,8:00-17:00,300,0,0,0,N,0,0,0,3000000,3187500,Reuters,05/07/1980,
